rxcui,NDC,startdate,enddate,class,drug
198001,00003028470,200706,201101,Beta_blocker,
198001,00003028470,200706,201101,Thiazide,
197436,00003033805,200706,201101,ACE inhibitor,
197436,00003033805,200706,201101,Thiazide,
197436,00003033810,200801,200901,ACE inhibitor,
197436,00003033810,200801,200901,Thiazide,
211053,00003033810,200810,201301,ACE inhibitor,
211053,00003033810,200810,201301,Thiazide,
197436,00003033830,200801,200901,ACE inhibitor,
197436,00003033830,200801,200901,Thiazide,
211053,00003033830,200810,201301,ACE inhibitor,
211053,00003033830,200810,201301,Thiazide,
197436,00003033850,200706,200901,ACE inhibitor,
197436,00003033850,200706,200901,Thiazide,
211053,00003033850,200810,201301,ACE inhibitor,
211053,00003033850,200810,201301,Thiazide,
197436,00003033892,200801,200901,ACE inhibitor,
197436,00003033892,200801,200901,Thiazide,
211053,00003033892,200810,201301,ACE inhibitor,
211053,00003033892,200810,201301,Thiazide,
197437,00003034905,200706,201101,ACE inhibitor,
197437,00003034905,200706,201101,Thiazide,
197437,00003034950,200706,200901,ACE inhibitor,
197437,00003034950,200706,200901,Thiazide,
211072,00003034950,200810,201301,ACE inhibitor,
211072,00003034950,200810,201301,Thiazide,
197438,00003038405,200706,201101,ACE inhibitor,
197438,00003038405,200706,201101,Thiazide,
197438,00003038450,200706,200901,ACE inhibitor,
197438,00003038450,200706,200901,Thiazide,
790297,00003038450,200810,201301,ACE inhibitor,
790297,00003038450,200810,201301,Thiazide,
197439,00003039005,200706,201101,ACE inhibitor,
197439,00003039005,200706,201101,Thiazide,
197439,00003039046,200801,200901,ACE inhibitor,
197439,00003039046,200801,200901,Thiazide,
790296,00003039046,200810,201301,ACE inhibitor,
790296,00003039046,200810,201301,Thiazide,
197439,00003039050,200706,200901,ACE inhibitor,
197439,00003039050,200706,200901,Thiazide,
790296,00003039050,200810,201301,ACE inhibitor,
790296,00003039050,200810,201301,Thiazide,
197439,00003039092,200801,200901,ACE inhibitor,
197439,00003039092,200801,200901,Thiazide,
790296,00003039092,200810,201301,ACE inhibitor,
790296,00003039092,200810,201301,Thiazide,
308963,00003045006,200706,200901,ACE inhibitor,
201370,00003045006,200706,201101,ACE inhibitor,
308963,00003045011,200706,201101,ACE inhibitor,
308963,00003045051,200706,200901,ACE inhibitor,
201370,00003045051,200706,201301,ACE inhibitor,
308963,00003045054,200706,200901,ACE inhibitor,
201370,00003045054,200706,201301,ACE inhibitor,
308963,00003045075,200706,200901,ACE inhibitor,
201370,00003045075,200706,201301,ACE inhibitor,
317173,00003045210,200706,201101,ACE inhibitor,
317173,00003045224,200706,201101,ACE inhibitor,
317173,00003045239,200706,200901,ACE inhibitor,
201372,00003045239,200706,201101,ACE inhibitor,
317173,00003045250,200706,200901,ACE inhibitor,
201372,00003045250,200706,201301,ACE inhibitor,
317173,00003045251,200706,200901,ACE inhibitor,
201372,00003045251,200706,201301,ACE inhibitor,
317173,00003045275,200706,200901,ACE inhibitor,
201372,00003045275,200706,201101,ACE inhibitor,
317173,00003045294,200801,200901,ACE inhibitor,
201372,00003045294,200706,201301,ACE inhibitor,
317173,00003045295,200801,200901,ACE inhibitor,
201372,00003045295,200706,201301,ACE inhibitor,
308964,00003048206,200706,200901,ACE inhibitor,
201374,00003048206,200706,201101,ACE inhibitor,
308964,00003048250,200706,200901,ACE inhibitor,
201374,00003048250,200706,201301,ACE inhibitor,
308964,00003048251,200706,200901,ACE inhibitor,
201374,00003048251,200706,201301,ACE inhibitor,
308964,00003048275,200706,200901,ACE inhibitor,
201374,00003048275,200706,201301,ACE inhibitor,
308962,00003048550,200706,200901,ACE inhibitor,
210994,00003048550,200706,201301,ACE inhibitor,
308962,00003048551,200706,200901,ACE inhibitor,
210994,00003048551,200706,201101,ACE inhibitor,
308615,00003060250,200706,200912,Thiazide,
308615,00003060250,200706,200912,Thiazide,
308614,00003060550,200706,201101,Thiazide,
197394,00003060650,200706,200901,Thiazide,
991221,00003060650,201006,201212,Thiazide,
197394,00003060680,200706,201101,Thiazide,
308618,00003060850,200706,200912,Thiazide,
308618,00003060850,200706,200912,Thiazide,
308618,00003060880,200706,200912,Thiazide,
308618,00003060880,200706,200912,Thiazide,
197393,00003061850,200706,200901,Thiazide,
991211,00003061850,201006,201112,Thiazide,
562344,00003076905,200811,201101,Thiazide,
562344,00003076951,200811,200901,Thiazide,
208066,00003076951,200811,201101,Thiazide,
562344,00003076980,200811,201101,Thiazide,
197476,00003082950,200706,201101,Thiazide,
197476,00003082975,200706,201101,Thiazide,
197957,00003290710,200706,201309,Other antihypertensive,
197381,00003504050,200706,201101,Beta_blocker,
197381,00003504075,200706,201101,Beta_blocker,
197379,00003524050,200706,201101,Beta_blocker,
833217,00003525002,200903,201101,Calcium channel blocker,
833217,00003525003,200903,201101,Calcium channel blocker,
833217,00003525004,200903,201101,Calcium channel blocker,
831103,00003555002,200902,201101,Calcium channel blocker,
831103,00003555003,200902,201101,Calcium channel blocker,
831103,00003555004,200902,201101,Calcium channel blocker,
831102,00003577002,200902,201101,Calcium channel blocker,
831102,00003577003,200902,201101,Calcium channel blocker,
831054,00003585002,200902,201101,Calcium channel blocker,
858589,00004018022,200910,201102,Calcium channel blocker,
858589,00004018091,200910,201102,Calcium channel blocker,
858583,00004018122,200910,201102,Calcium channel blocker,
858583,00004018191,200910,201102,Calcium channel blocker,
858595,00004018222,200910,201102,Calcium channel blocker,
858595,00004018291,200910,201102,Calcium channel blocker,
858615,00004018301,200910,201102,Calcium channel blocker,
858615,00004018314,200910,201101,Calcium channel blocker,
858615,00004018315,200910,201102,Calcium channel blocker,
858617,00004018401,200910,201102,Calcium channel blocker,
858617,00004018414,200910,201102,Calcium channel blocker,
198372,00004026201,200706,200901,Other Diuretics,
208082,00004026201,200706,201709,Other Diuretics,
198372,00004026249,200801,200901,Other Diuretics,
208082,00004026249,200706,201709,Other Diuretics,
198369,00004026301,200706,200901,Other Diuretics,
208076,00004026301,200706,201709,Other Diuretics,
198369,00004026349,200801,200901,Other Diuretics,
208076,00004026349,200706,201709,Other Diuretics,
198371,00004026401,200706,200901,Other Diuretics,
208081,00004026401,200706,201709,Other Diuretics,
198371,00004026449,200706,200901,Other Diuretics,
208081,00004026449,200706,201709,Other Diuretics,
198370,00004026501,200706,200901,Other Diuretics,
208080,00004026501,200706,201709,Other Diuretics,
198370,00004026549,200706,200901,Other Diuretics,
208080,00004026549,200706,201709,Other Diuretics,
132604,00004026706,200706,200901,Other Diuretics,
876422,00004026706,200912,201601,Other Diuretics,
132604,00004026806,200706,200901,Other Diuretics,
876422,00004026806,200912,201601,Other Diuretics,
897620,00005248923,201003,201101,Calcium channel blocker,
897614,00005249023,201003,201101,Calcium channel blocker,
897626,00005249123,201003,201101,Calcium channel blocker,
897632,00005249523,201003,201101,Calcium channel blocker,
197732,00005310023,200706,201102,Other Diuretics,
197732,00005310031,200706,201102,Other Diuretics,
197732,00005310060,200706,201101,Other Diuretics,
856556,00005310223,200908,201102,Beta_blocker,
856556,00005310231,200908,201102,Beta_blocker,
856448,00005310923,200908,201102,Beta_blocker,
856448,00005310931,200908,201102,Beta_blocker,
856457,00005311023,200908,201101,Beta_blocker,
856457,00005311031,200908,201101,Beta_blocker,
856519,00005311123,200908,201101,Beta_blocker,
856519,00005311131,200908,201101,Beta_blocker,
856578,00005311223,200910,201101,Beta_blocker,
856578,00005311231,200910,201101,Beta_blocker,
884173,00005318023,201001,201102,Other antihypertensive,
884173,00005318034,201001,201102,Other antihypertensive,
884185,00005318123,201001,201102,Other antihypertensive,
884185,00005318134,201001,201102,Other antihypertensive,
884189,00005318223,201001,201102,Other antihypertensive,
197380,00005321834,200706,201102,Beta_blocker,
197380,00005321843,200706,201102,Beta_blocker,
197381,00005321934,200706,201102,Beta_blocker,
197381,00005321943,200706,201102,Beta_blocker,
197379,00005322034,200706,201102,Beta_blocker,
197379,00005322043,200706,201102,Beta_blocker,
854921,00005323423,200908,201301,Beta_blocker,
854921,00005323423,200908,201301,Thiazide,
854919,00005323438,200908,201101,Beta_blocker,
854919,00005323438,200908,201101,Thiazide,
854910,00005323538,200908,201301,Beta_blocker,
854910,00005323538,200908,201301,Thiazide,
854918,00005323823,200908,201301,Beta_blocker,
854918,00005323823,200908,201301,Thiazide,
854916,00005323838,200908,201101,Beta_blocker,
854916,00005323838,200908,201101,Thiazide,
833217,00005333334,200903,201102,Calcium channel blocker,
833217,00005333343,200903,201101,Calcium channel blocker,
831103,00005333434,200902,201102,Calcium channel blocker,
831103,00005333443,200902,201102,Calcium channel blocker,
831102,00005333534,200902,201101,Calcium channel blocker,
831102,00005333543,200902,201102,Calcium channel blocker,
831054,00005333634,200902,201102,Calcium channel blocker,
831054,00005333643,200902,201102,Calcium channel blocker,
197475,00005338134,200706,201101,Thiazide,
197476,00005338234,200706,201101,Thiazide,
197476,00005338262,200706,201101,Thiazide,
897683,00005344623,201003,201101,Calcium channel blocker,
312593,00005347327,200706,201102,Other antihypertensive,
312593,00005347334,200706,201102,Other antihypertensive,
312593,00005347343,200706,201102,Other antihypertensive,
312594,00005347427,200706,201102,Other antihypertensive,
312594,00005347431,200706,201101,Other antihypertensive,
312594,00005347434,200706,201102,Other antihypertensive,
312594,00005347443,200706,201102,Other antihypertensive,
198141,00005347527,200706,201101,Other antihypertensive,
198141,00005347531,200706,201101,Other antihypertensive,
198141,00005347543,200706,201101,Other antihypertensive,
310429,00005370823,200706,201102,Other Diuretics,
310429,00005370831,200706,201102,Other Diuretics,
310429,00005370860,200706,201101,Other Diuretics,
313988,00005370923,200706,201102,Other Diuretics,
313988,00005370931,200706,201101,Other Diuretics,
313988,00005370934,200706,201102,Other Diuretics,
313988,00005370960,200706,201101,Other Diuretics,
197951,00005372623,200706,201101,Thiazide,
198224,00005373323,200706,201101,Aldosterone blocker,
198224,00005373323,200706,201101,Thiazide,
198224,00005373331,200706,201101,Aldosterone blocker,
198224,00005373331,200706,201101,Thiazide,
310798,00005375223,200706,201101,Thiazide,
310798,00005375234,200706,201102,Thiazide,
197770,00005375323,200706,201101,Thiazide,
197770,00005375334,200706,201102,Thiazide,
197500,00005375623,200706,201101,Thiazide,
197500,00005375631,200706,201101,Thiazide,
197500,00005375660,200706,201101,Thiazide,
197499,00005376323,200706,201101,Thiazide,
197499,00005376331,200706,201101,Thiazide,
197499,00005376360,200706,201101,Thiazide,
313096,00005378223,200706,201101,Aldosterone blocker,
313096,00005378231,200706,201101,Aldosterone blocker,
313096,00005378260,200706,201101,Aldosterone blocker,
905353,00005378323,201004,201101,Other antihypertensive,
905353,00005378323,201004,201101,Thiazide,
905353,00005378331,201004,201101,Other antihypertensive,
905353,00005378331,201004,201101,Thiazide,
854907,00005381638,200908,201301,Beta_blocker,
854903,00005381738,200908,201301,Beta_blocker,
197955,00005384923,200706,200912,Other antihypertensive,
197956,00005385023,200706,201101,Other antihypertensive,
197956,00005385031,200706,201102,Other antihypertensive,
197956,00005385043,200706,201101,Other antihypertensive,
197956,00005385060,200706,201101,Other antihypertensive,
197958,00005385123,200706,201101,Other antihypertensive,
197958,00005385131,200706,201102,Other antihypertensive,
197958,00005385143,200706,201101,Other antihypertensive,
197958,00005385160,200706,201101,Other antihypertensive,
197963,00005385223,200706,201101,Other antihypertensive,
197963,00005385223,200706,201101,Thiazide,
197963,00005385234,200706,201101,Other antihypertensive,
197963,00005385234,200706,201101,Thiazide,
197960,00005385323,200706,201101,Other antihypertensive,
197960,00005385323,200706,201101,Thiazide,
197960,00005385334,200706,201101,Other antihypertensive,
197960,00005385334,200706,201101,Thiazide,
315193,00005445723,200706,200912,Thiazide,
315193,00005445731,200706,200912,Thiazide,
312752,00005445823,200706,201101,Thiazide,
312752,00005445831,200706,201101,Thiazide,
310818,00005446031,200706,200901,Other Diuretics,
310818,00005446031,200706,200901,Thiazide,
93252,00005446031,200706,201101,Other Diuretics,
93252,00005446031,200706,201101,Thiazide,
310818,00005446038,200706,201101,Other Diuretics,
310818,00005446038,200706,201101,Thiazide,
310818,00005446043,200706,200901,Other Diuretics,
310818,00005446043,200706,200901,Thiazide,
93252,00005446043,200706,201101,Other Diuretics,
93252,00005446043,200706,201101,Thiazide,
310818,00005446060,200706,200901,Other Diuretics,
310818,00005446060,200706,200901,Thiazide,
93252,00005446060,200706,201101,Other Diuretics,
93252,00005446060,200706,201101,Thiazide,
310812,00005446438,200706,201101,Other Diuretics,
310812,00005446438,200706,201101,Thiazide,
310812,00005446443,200706,200901,Other Diuretics,
310812,00005446443,200706,200901,Thiazide,
93253,00005446443,200706,201101,Other Diuretics,
93253,00005446443,200706,201101,Thiazide,
310812,00005446460,200706,200901,Other Diuretics,
310812,00005446460,200706,200901,Thiazide,
93253,00005446460,200706,201101,Other Diuretics,
93253,00005446460,200706,201101,Thiazide,
858806,00006001428,200910,201301,ACE inhibitor,
858806,00006001468,200910,201301,ACE inhibitor,
858806,00006001482,200910,201301,ACE inhibitor,
858806,00006001487,200910,201301,ACE inhibitor,
858806,00006001494,200910,201301,ACE inhibitor,
858806,00006001498,200910,201301,ACE inhibitor,
311353,00006001528,200706,200901,ACE inhibitor,
206763,00006001528,200706,201102,ACE inhibitor,
311353,00006001531,200706,200901,ACE inhibitor,
206763,00006001531,200706,201102,ACE inhibitor,
311353,00006001558,200706,200901,ACE inhibitor,
206763,00006001558,200706,201102,ACE inhibitor,
311353,00006001572,200706,200901,ACE inhibitor,
206763,00006001572,200706,201101,ACE inhibitor,
311354,00006001907,200801,200901,ACE inhibitor,
206764,00006001907,200706,201212,ACE inhibitor,
311354,00006001928,200706,200901,ACE inhibitor,
206764,00006001928,200706,201301,ACE inhibitor,
311354,00006001954,200801,200901,ACE inhibitor,
206764,00006001954,200706,201709,ACE inhibitor,
311354,00006001958,200706,200901,ACE inhibitor,
206764,00006001958,200706,201301,ACE inhibitor,
311354,00006001972,200706,200901,ACE inhibitor,
206764,00006001972,200706,201301,ACE inhibitor,
311354,00006001982,200706,200901,ACE inhibitor,
206764,00006001982,200706,201708,ACE inhibitor,
311354,00006001986,200706,200901,ACE inhibitor,
206764,00006001986,200706,201301,ACE inhibitor,
311354,00006001987,200706,200901,ACE inhibitor,
206764,00006001987,200706,201301,ACE inhibitor,
311354,00006001992,200801,200901,ACE inhibitor,
206764,00006001992,200706,201212,ACE inhibitor,
311354,00006001994,200706,200901,ACE inhibitor,
206764,00006001994,200706,201301,ACE inhibitor,
310798,00006004228,200706,201101,Thiazide,
310798,00006004268,200706,200901,Thiazide,
207938,00006004268,200706,201102,Thiazide,
310798,00006004282,200706,200901,Thiazide,
207938,00006004282,200706,201102,Thiazide,
204501,00006005368,200706,200901,Other antihypertensive,
204501,00006005368,200706,200901,Thiazide,
208085,00006005368,200706,201102,Other antihypertensive,
208085,00006005368,200706,201102,Thiazide,
204501,00006005382,200706,200901,Other antihypertensive,
204501,00006005382,200706,200901,Thiazide,
208085,00006005382,200706,201102,Other antihypertensive,
208085,00006005382,200706,201102,Thiazide,
198286,00006005968,200706,200901,Beta_blocker,
208575,00006005968,200706,201210,Beta_blocker,
1251905,00006006515,201205,201210,Other Diuretics,
1251905,00006006568,201205,201212,Other Diuretics,
310811,00006006768,200706,200901,Beta_blocker,
310811,00006006768,200706,200901,Thiazide,
491234,00006006768,200706,201102,Beta_blocker,
491234,00006006768,200706,201102,Thiazide,
1251909,00006009000,201205,201301,Other Diuretics,
977882,00006009268,201006,201102,Other Diuretics,
197770,00006010528,200706,201101,Thiazide,
197770,00006010568,200706,200901,Thiazide,
207945,00006010568,200706,201102,Thiazide,
197770,00006010582,200706,200901,Thiazide,
207945,00006010582,200706,201102,Thiazide,
197770,00006010586,200706,200901,Thiazide,
207945,00006010586,200706,201102,Thiazide,
314076,00006010607,200801,200901,ACE inhibitor,
206765,00006010607,200706,201009,ACE inhibitor,
314076,00006010628,200706,200901,ACE inhibitor,
206765,00006010628,200706,201301,ACE inhibitor,
314076,00006010631,200706,200901,ACE inhibitor,
206765,00006010631,200706,201301,ACE inhibitor,
314076,00006010654,200801,200901,ACE inhibitor,
206765,00006010654,200706,201709,ACE inhibitor,
314076,00006010658,200706,200901,ACE inhibitor,
206765,00006010658,200706,201301,ACE inhibitor,
314076,00006010672,200706,200901,ACE inhibitor,
206765,00006010672,200706,201301,ACE inhibitor,
314076,00006010682,200706,200901,ACE inhibitor,
206765,00006010682,200706,201707,ACE inhibitor,
314076,00006010686,200706,200901,ACE inhibitor,
206765,00006010686,200706,201301,ACE inhibitor,
314076,00006010687,200706,200901,ACE inhibitor,
206765,00006010687,200706,201301,ACE inhibitor,
314076,00006010692,200801,200901,ACE inhibitor,
206765,00006010692,200706,201009,ACE inhibitor,
314076,00006010694,200706,200901,ACE inhibitor,
206765,00006010694,200706,201301,ACE inhibitor,
197771,00006012768,200706,200901,Other antihypertensive,
197771,00006012768,200706,200901,Thiazide,
208091,00006012768,200706,201102,Other antihypertensive,
208091,00006012768,200706,201102,Thiazide,
197771,00006012782,200706,200901,Other antihypertensive,
197771,00006012782,200706,200901,Thiazide,
208091,00006012782,200706,201102,Other antihypertensive,
208091,00006012782,200706,201102,Thiazide,
197955,00006013568,200706,200901,Other antihypertensive,
201354,00006013568,200706,201102,Other antihypertensive,
198284,00006013628,200706,200901,Beta_blocker,
201340,00006013628,200706,201102,Beta_blocker,
198284,00006013668,200706,200901,Beta_blocker,
201340,00006013668,200706,201210,Beta_blocker,
197886,00006014007,200801,200901,ACE inhibitor,
197886,00006014007,200801,200901,Thiazide,
207963,00006014007,200706,201009,ACE inhibitor,
207963,00006014007,200706,201009,Thiazide,
197886,00006014031,200706,200901,ACE inhibitor,
197886,00006014031,200706,200901,Thiazide,
207963,00006014031,200706,201301,ACE inhibitor,
207963,00006014031,200706,201301,Thiazide,
197886,00006014058,200706,200901,ACE inhibitor,
197886,00006014058,200706,200901,Thiazide,
207963,00006014058,200706,201303,ACE inhibitor,
207963,00006014058,200706,201303,Thiazide,
197887,00006014207,200801,200901,ACE inhibitor,
197887,00006014207,200801,200901,Thiazide,
207965,00006014207,200706,201009,ACE inhibitor,
207965,00006014207,200706,201009,Thiazide,
197887,00006014231,200706,200901,ACE inhibitor,
197887,00006014231,200706,200901,Thiazide,
207965,00006014231,200706,201309,ACE inhibitor,
207965,00006014231,200706,201309,Thiazide,
197887,00006014258,200706,200901,ACE inhibitor,
197887,00006014258,200706,200901,Thiazide,
207965,00006014258,200706,201106,ACE inhibitor,
207965,00006014258,200706,201106,Thiazide,
197885,00006014531,200706,200901,ACE inhibitor,
197885,00006014531,200706,200901,Thiazide,
207961,00006014531,200706,201102,ACE inhibitor,
207961,00006014531,200706,201102,Thiazide,
197885,00006014558,200706,200901,ACE inhibitor,
197885,00006014558,200706,200901,Thiazide,
207961,00006014558,200706,201403,ACE inhibitor,
207961,00006014558,200706,201403,Thiazide,
197960,00006015382,200907,201102,Other antihypertensive,
197960,00006015382,200907,201102,Thiazide,
858827,00006017368,200910,201301,ACE inhibitor,
858827,00006017368,200910,201301,Thiazide,
858824,00006017399,200910,201212,ACE inhibitor,
858824,00006017399,200910,201212,Thiazide,
197963,00006017968,200907,201102,Other antihypertensive,
197963,00006017968,200907,201102,Thiazide,
197963,00006017982,200907,201102,Other antihypertensive,
197963,00006017982,200907,201102,Thiazide,
314077,00006020707,200801,200901,ACE inhibitor,
206766,00006020707,200706,200902,ACE inhibitor,
314077,00006020728,200706,200901,ACE inhibitor,
206766,00006020728,200706,201301,ACE inhibitor,
314077,00006020731,200706,200901,ACE inhibitor,
206766,00006020731,200706,201301,ACE inhibitor,
314077,00006020754,200801,200901,ACE inhibitor,
206766,00006020754,200706,201709,ACE inhibitor,
314077,00006020758,200706,200901,ACE inhibitor,
206766,00006020758,200706,201301,ACE inhibitor,
314077,00006020772,200706,200901,ACE inhibitor,
206766,00006020772,200706,201301,ACE inhibitor,
314077,00006020782,200706,200901,ACE inhibitor,
206766,00006020782,200706,201707,ACE inhibitor,
314077,00006020786,200706,200901,ACE inhibitor,
206766,00006020786,200706,201101,ACE inhibitor,
314077,00006020787,200706,200901,ACE inhibitor,
206766,00006020787,200706,201301,ACE inhibitor,
314077,00006020792,200801,200901,ACE inhibitor,
206766,00006020792,200706,200902,ACE inhibitor,
314077,00006020794,200706,200901,ACE inhibitor,
206766,00006020794,200706,201301,ACE inhibitor,
197475,00006021468,200706,200901,Thiazide,
213443,00006021468,200706,201102,Thiazide,
197475,00006021482,200706,200901,Thiazide,
213443,00006021482,200706,201102,Thiazide,
237192,00006023068,200706,200901,Other antihypertensive,
237192,00006023068,200706,200901,Thiazide,
213504,00006023068,200706,201102,Other antihypertensive,
213504,00006023068,200706,201102,Thiazide,
237192,00006023082,200706,200901,Other antihypertensive,
237192,00006023082,200706,200901,Thiazide,
213504,00006023082,200706,201102,Other antihypertensive,
213504,00006023082,200706,201102,Thiazide,
197884,00006023758,200706,200901,ACE inhibitor,
206770,00006023758,200706,201309,ACE inhibitor,
310798,00006024168,200907,201102,Thiazide,
310798,00006024182,200907,201102,Thiazide,
197770,00006024368,200907,201102,Thiazide,
197770,00006024382,200907,201102,Thiazide,
201355,00006040100,200907,201301,Other antihypertensive,
201355,00006040101,200907,201301,Other antihypertensive,
201355,00006040102,200907,201301,Other antihypertensive,
201355,00006040104,200907,201301,Other antihypertensive,
201355,00006040107,200907,201301,Other antihypertensive,
201355,00006040108,200907,201301,Other antihypertensive,
197956,00006040128,200706,200901,Other antihypertensive,
201355,00006040128,200706,201101,Other antihypertensive,
197956,00006040168,200706,200901,Other antihypertensive,
201355,00006040168,200706,201101,Other antihypertensive,
197956,00006040178,200706,200901,Other antihypertensive,
201355,00006040178,200706,201101,Other antihypertensive,
197956,00006040182,200706,200901,Other antihypertensive,
201355,00006040182,200706,201101,Other antihypertensive,
197477,00006040568,200706,200901,Other antihypertensive,
197477,00006040568,200706,200901,Thiazide,
213505,00006040568,200706,201102,Other antihypertensive,
213505,00006040568,200706,201102,Thiazide,
197477,00006040582,200706,200901,Other antihypertensive,
197477,00006040582,200706,200901,Thiazide,
213505,00006040582,200706,201102,Other antihypertensive,
213505,00006040582,200706,201102,Thiazide,
197769,00006041068,200706,200901,Thiazide,
207935,00006041068,200706,201101,Thiazide,
197963,00006042328,200706,201101,Other antihypertensive,
197963,00006042328,200706,201101,Thiazide,
197963,00006042368,200706,200901,Other antihypertensive,
197963,00006042368,200706,200901,Thiazide,
688643,00006042368,200706,201210,Other antihypertensive,
688643,00006042368,200706,201210,Thiazide,
197963,00006042382,200706,200901,Other antihypertensive,
197963,00006042382,200706,200901,Thiazide,
688643,00006042382,200706,201102,Other antihypertensive,
688643,00006042382,200706,201102,Thiazide,
197476,00006043228,200706,201101,Thiazide,
197476,00006043268,200706,200901,Thiazide,
213447,00006043268,200706,201102,Thiazide,
197476,00006043282,200706,200901,Thiazide,
213447,00006043282,200706,201102,Thiazide,
197476,00006043286,200706,200901,Thiazide,
213447,00006043286,200706,201102,Thiazide,
198285,00006043768,200706,200901,Beta_blocker,
208576,00006043768,200706,201210,Beta_blocker,
402698,00006045007,200801,200901,Calcium channel blocker,
402698,00006045007,200801,200901,Calcium channel blocker,
152933,00006045007,200706,201206,Calcium channel blocker,
402698,00006045028,200801,200901,Calcium channel blocker,
402698,00006045028,200801,200901,Calcium channel blocker,
152933,00006045028,200706,201212,Calcium channel blocker,
402698,00006045031,200801,200901,Calcium channel blocker,
402698,00006045031,200801,200901,Calcium channel blocker,
152933,00006045031,200706,201212,Calcium channel blocker,
402698,00006045058,200801,200901,Calcium channel blocker,
402698,00006045058,200801,200901,Calcium channel blocker,
152933,00006045058,200706,201212,Calcium channel blocker,
402696,00006045107,200801,200901,Calcium channel blocker,
402696,00006045107,200801,200901,Calcium channel blocker,
104419,00006045107,200706,201206,Calcium channel blocker,
402696,00006045128,200810,200901,Calcium channel blocker,
402696,00006045128,200810,200901,Calcium channel blocker,
104419,00006045128,200810,201212,Calcium channel blocker,
402696,00006045131,200811,200901,Calcium channel blocker,
402696,00006045131,200811,200901,Calcium channel blocker,
104419,00006045131,200811,201212,Calcium channel blocker,
402696,00006045158,200811,200901,Calcium channel blocker,
402696,00006045158,200811,200901,Calcium channel blocker,
104419,00006045158,200811,201212,Calcium channel blocker,
402695,00006045228,200706,200901,Calcium channel blocker,
402695,00006045228,200706,200901,Calcium channel blocker,
104420,00006045228,200706,201104,Calcium channel blocker,
402695,00006045231,200706,200901,Calcium channel blocker,
402695,00006045231,200706,200901,Calcium channel blocker,
104420,00006045231,200706,201104,Calcium channel blocker,
402695,00006045258,200706,200901,Calcium channel blocker,
402695,00006045258,200706,200901,Calcium channel blocker,
104420,00006045258,200706,201104,Calcium channel blocker,
197960,00006045628,200706,200901,Other antihypertensive,
197960,00006045628,200706,200901,Thiazide,
688645,00006045628,200706,201101,Other antihypertensive,
688645,00006045628,200706,201101,Thiazide,
197960,00006045668,200706,200901,Other antihypertensive,
197960,00006045668,200706,200901,Thiazide,
688645,00006045668,200706,201210,Other antihypertensive,
688645,00006045668,200706,201210,Thiazide,
197960,00006045682,200706,200901,Other antihypertensive,
197960,00006045682,200706,200901,Thiazide,
688645,00006045682,200706,201210,Other antihypertensive,
688645,00006045682,200706,201210,Thiazide,
197958,00006051628,200706,200901,Other antihypertensive,
201358,00006051628,200706,201101,Other antihypertensive,
197958,00006051654,200706,201101,Other antihypertensive,
