drug_name,rx_normcui,class,drug_name_broad,term_type,name,drug
,1179132,,,SBDG,Livalo Oral Product,Pitavastatin
,1179133,,,SBDG,Livalo Pill,Pitavastatin
,1182624,,,SBDG,Simcor Oral Product,Simvastatin
,1182627,,,SBDG,Simcor Pill,Simvastatin
,1183781,,,SBDG,Trilipix Oral Product,fenofibric acid
,1183782,,,SBDG,Trilipix Pill,fenofibric acid
,1184638,,,SBDG,Pravachol Oral Product,Pravastatin
,1184639,,,SBDG,Pravachol Pill,Pravastatin
,1185876,,,SBDG,Questran Oral Product,Cholestyramine
,1187441,,,SBDG,Zetia Oral Product,Ezetimibe
,1187442,,,SBDG,Zetia Pill,Ezetimibe
,1187941,,,SBDG,Welchol Oral Product,Colesevelam
,1187942,,,SBDG,Welchol Pill,Colesevelam
,1187973,,,SBDG,Zocor Oral Product,Simvastatin
,1187974,,,SBDG,Zocor Pill,Simvastatin
,1189803,,,MIN,Simvastatin / sitagliptin,Simvastatin
,1234328,,,SCD,coenzyme Q10 25 MG / red yeast rice 600 MG Oral Capsule,Red Yeast Rice
,1245416,,,SBDC,ezetimibe 10 MG / Simvastatin 10 MG [Vytorin],Ezetimibe
,1245416,,,SBDC,ezetimibe 10 MG / Simvastatin 10 MG [Vytorin],Simvastatin
,1245420,,,SBD,ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet [Vytorin],Ezetimibe
,1245420,,,SBD,ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet [Vytorin],Simvastatin
,1245426,,,SBDC,ezetimibe 10 MG / Simvastatin 20 MG [Vytorin],Ezetimibe
,1245426,,,SBDC,ezetimibe 10 MG / Simvastatin 20 MG [Vytorin],Simvastatin
,1245430,,,SBD,ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet [Vytorin],Ezetimibe
,1245430,,,SBD,ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet [Vytorin],Simvastatin
,1245437,,,SBDC,ezetimibe 10 MG / Simvastatin 40 MG [Vytorin],Ezetimibe
,1245437,,,SBDC,ezetimibe 10 MG / Simvastatin 40 MG [Vytorin],Simvastatin
,1245438,,,SBDF,ezetimibe / Simvastatin Oral Tablet [Vytorin],Ezetimibe
,1245438,,,SBDF,ezetimibe / Simvastatin Oral Tablet [Vytorin],Simvastatin
,1245439,,,SBDG,Vytorin Oral Product,Ezetimibe
,1245439,,,SBDG,Vytorin Oral Product,Simvastatin
,1245440,,,SBDG,Vytorin Pill,Ezetimibe
,1245440,,,SBDG,Vytorin Pill,Simvastatin
,1245441,,,SBD,ezetimibe 10 MG / Simvastatin 40 MG Oral Tablet [Vytorin],Ezetimibe
,1245441,,,SBD,ezetimibe 10 MG / Simvastatin 40 MG Oral Tablet [Vytorin],Simvastatin
,1245445,,,SBDC,ezetimibe 10 MG / Simvastatin 80 MG [Vytorin],Ezetimibe
,1245445,,,SBDC,ezetimibe 10 MG / Simvastatin 80 MG [Vytorin],Simvastatin
,1245449,,,SBD,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet [Vytorin],Ezetimibe
,1245449,,,SBD,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet [Vytorin],Simvastatin
,1295303,,,SCDG,Colestipol Granule Product,Colestipol
,1295323,,,SCDG,Simvastatin Disintegrating Oral Product,Simvastatin
,1296445,,,SBDG,Colestid Granule Product,Colestipol
,1297766,,,PIN,atorvastatin calcium trihydrate,Atorvastatin
,1367838,,,PIN,mipomersen sodium,Mipomersen
,1367839,,,IN,mipomersen,Mipomersen
,1367840,,,SCDC,mipomersen sodium 200 MG/ML,Mipomersen
,1367841,,,SCDG,mipomersen Injectable Product,Mipomersen
,1367842,,,SCDF,mipomersen Prefilled Syringe,Mipomersen
,1367843,,,SCD,1 ML mipomersen sodium 200 MG/ML Prefilled Syringe,Mipomersen
,1367844,,,BN,Kynamro,Mipomersen
,1367845,,,SBDC,mipomersen sodium 200 MG/ML [Kynamro],Mipomersen
,1367846,,,SBDF,mipomersen Prefilled Syringe [Kynamro],Mipomersen
,1367847,,,SBDG,Kynamro Injectable Product,Mipomersen
,1367848,,,SBD,1 ML mipomersen sodium 200 MG/ML Prefilled Syringe [Kynamro],Mipomersen
,1372731,,,BN,Simcor,Simvastatin
,141625,,,PIN,Colesevelam hydrochloride,Colesevelam
,141626,,,IN,colesevelam,Colesevelam
,1422082,,,SCDG,atorvastatin / ezetimibe Oral Product,Atorvastatin
,1422082,,,SCDG,atorvastatin / ezetimibe Oral Product,Ezetimibe
,1422083,,,SCDG,atorvastatin / ezetimibe Pill,Atorvastatin
,1422083,,,SCDG,atorvastatin / ezetimibe Pill,Ezetimibe
,1422084,,,SCDF,atorvastatin / ezetimibe Oral Tablet,Atorvastatin
,1422084,,,SCDF,atorvastatin / ezetimibe Oral Tablet,Ezetimibe
,1422085,,,MIN,atorvastatin / ezetimibe,Atorvastatin
,1422085,,,MIN,atorvastatin / ezetimibe,Ezetimibe
,1422086,,,SCD,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet,Atorvastatin
,1422086,,,SCD,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet,Ezetimibe
,1422087,,,BN,Liptruzet,Atorvastatin
,1422087,,,BN,Liptruzet,Ezetimibe
,1422088,,,SBDC,atorvastatin 10 MG / ezetimibe 10 MG [Liptruzet],Atorvastatin
,1422088,,,SBDC,atorvastatin 10 MG / ezetimibe 10 MG [Liptruzet],Ezetimibe
,1422089,,,SBDF,atorvastatin / ezetimibe Oral Tablet [Liptruzet],Atorvastatin
,1422089,,,SBDF,atorvastatin / ezetimibe Oral Tablet [Liptruzet],Ezetimibe
,1422090,,,SBDG,Liptruzet Oral Product,Atorvastatin
,1422090,,,SBDG,Liptruzet Oral Product,Ezetimibe
,1422091,,,SBDG,Liptruzet Pill,Atorvastatin
,1422091,,,SBDG,Liptruzet Pill,Ezetimibe
,1422092,,,SBD,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Atorvastatin
,1422092,,,SBD,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Ezetimibe
,1422093,,,SCD,atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet,Atorvastatin
,1422093,,,SCD,atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet,Ezetimibe
,1422094,,,SBDC,atorvastatin 20 MG / ezetimibe 10 MG [Liptruzet],Atorvastatin
,1422094,,,SBDC,atorvastatin 20 MG / ezetimibe 10 MG [Liptruzet],Ezetimibe
,1422095,,,SBD,atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Atorvastatin
,1422095,,,SBD,atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Ezetimibe
,1422096,,,SCD,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet,Atorvastatin
,1422096,,,SCD,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet,Ezetimibe
,1422097,,,SBDC,atorvastatin 40 MG / ezetimibe 10 MG [Liptruzet],Atorvastatin
,1422097,,,SBDC,atorvastatin 40 MG / ezetimibe 10 MG [Liptruzet],Ezetimibe
,1422098,,,SBD,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Atorvastatin
,1422098,,,SBD,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Ezetimibe
,1422099,,,SCD,atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet,Atorvastatin
,1422099,,,SCD,atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet,Ezetimibe
,1422100,,,SBDC,atorvastatin 80 MG / ezetimibe 10 MG [Liptruzet],Atorvastatin
,1422100,,,SBDC,atorvastatin 80 MG / ezetimibe 10 MG [Liptruzet],Ezetimibe
,1422101,,,SBD,atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Atorvastatin
,1422101,,,SBD,atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],Ezetimibe
,1430892,,,MIN,Fenofibrate / Simvastatin,Simvastatin
,1439885,,,SCDG,Fenofibrate / Simvastatin Oral Product,Simvastatin
,1439886,,,SCDG,Fenofibrate / Simvastatin Pill,Simvastatin
,1439887,,,SCDF,Fenofibrate / Simvastatin Oral Tablet,Simvastatin
,1439888,,,SCD,Fenofibrate 145 MG / Simvastatin 20 MG Oral Tablet,Simvastatin
,1439897,,,SCD,Fenofibrate 145 MG / Simvastatin 40 MG Oral Tablet,Simvastatin
,1483793,,,PIN,ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE,Atorvastatin
,151533,,,BN,Colestid,Colestipol
,151972,,,BN,Lescol,Fluvastatin
,152923,,,SBD,Simvastatin 40 MG Oral Tablet [Zocor],Simvastatin
,153165,,,BN,Lipitor,Atorvastatin
,1659152,,,IN,alirocumab,Alirocumab
,1659153,,,SCDC,alirocumab 150 MG/ML,Alirocumab
,1659154,,,SCDG,alirocumab Injectable Product,Alirocumab
,1659155,,,SCDF,alirocumab Auto-Injector,Alirocumab
,1659156,,,SCD,1 ML alirocumab 150 MG/ML Auto-Injector,Alirocumab
,1659157,,,BN,Praluent,Alirocumab
,1659158,,,SBDC,alirocumab 150 MG/ML [Praluent],Alirocumab
,1659159,,,SBDF,alirocumab Auto-Injector [Praluent],Alirocumab
,1659160,,,SBDG,Praluent Injectable Product,Alirocumab
,1659161,,,SBD,1 ML alirocumab 150 MG/ML Auto-Injector [Praluent],Alirocumab
,1659164,,,SCDF,alirocumab Prefilled Syringe,Alirocumab
,1659165,,,SCD,1 ML alirocumab 150 MG/ML Prefilled Syringe,Alirocumab
,1659166,,,SBDF,alirocumab Prefilled Syringe [Praluent],Alirocumab
,1659167,,,SBD,1 ML alirocumab 150 MG/ML Prefilled Syringe [Praluent],Alirocumab
,1659176,,,SCDC,alirocumab 75 MG/ML,Alirocumab
,1659177,,,SCD,1 ML alirocumab 75 MG/ML Prefilled Syringe,Alirocumab
,1659178,,,SBDC,alirocumab 75 MG/ML [Praluent],Alirocumab
,1659179,,,SBD,1 ML alirocumab 75 MG/ML Prefilled Syringe [Praluent],Alirocumab
,1659182,,,SCD,1 ML alirocumab 75 MG/ML Auto-Injector,Alirocumab
,1659183,,,SBD,1 ML alirocumab 75 MG/ML Auto-Injector [Praluent],Alirocumab
,1665684,,,IN,evolocumab,Evolocumab
,1665892,,,SCDC,evolocumab 140 MG/ML,Evolocumab
,1665893,,,SCDG,evolocumab Injectable Product,Evolocumab
,1665894,,,SCDF,evolocumab Auto-Injector,Evolocumab
,1665895,,,SCD,1 ML evolocumab 140 MG/ML Auto-Injector,Evolocumab
,1665896,,,BN,Repatha,Evolocumab
,1665897,,,SBDC,evolocumab 140 MG/ML [Repatha],Evolocumab
,1665898,,,SBDF,evolocumab Auto-Injector [Repatha],Evolocumab
,1665899,,,SBDG,Repatha Injectable Product,Evolocumab
,1665900,,,SBD,1 ML evolocumab 140 MG/ML Auto-Injector [Repatha],Evolocumab
,1665903,,,SCDF,evolocumab Prefilled Syringe,Evolocumab
,1665904,,,SCD,1 ML evolocumab 140 MG/ML Prefilled Syringe,Evolocumab
,1665905,,,SBDF,evolocumab Prefilled Syringe [Repatha],Evolocumab
,1665906,,,SBD,1 ML evolocumab 140 MG/ML Prefilled Syringe [Repatha],Evolocumab
,1790676,,,SCDC,Simvastatin 4 MG/ML,Simvastatin
,1790677,,,SCDG,Simvastatin Oral Liquid Product,Simvastatin
,1790678,,,SCDF,Simvastatin Oral Suspension,Simvastatin
,1790679,,,SCD,Simvastatin 4 MG/ML Oral Suspension,Simvastatin
,1801265,,,SCDG,Cholestyramine Resin Oral Powder Product,Cholestyramine
,1801266,,,SCDF,Cholestyramine Resin Powder for Oral Suspension,Cholestyramine
,1801268,,,SBDC,Cholestyramine Resin 4000 MG [Questran],Cholestyramine
,1801269,,,SBDF,Cholestyramine Resin Powder for Oral Suspension [Questran],Cholestyramine
,1801270,,,SBDG,Questran Oral Powder Product,Cholestyramine
,1801272,,,SBDC,Cholestyramine Resin 4000 MG [Prevalite],Cholestyramine
,1801273,,,SBDF,Cholestyramine Resin Powder for Oral Suspension [Prevalite],Cholestyramine
,1801274,,,SBDG,Prevalite Oral Powder Product,Cholestyramine
,1801279,,,SCD,Sugar-Free Cholestyramine Resin 4000 MG Powder for Oral Suspension,Cholestyramine
,1801280,,,SBD,Sugar-Free Cholestyramine Resin 4000 MG Powder for Oral Suspension [Questran],Cholestyramine
,1801317,,,SCDC,evolocumab 120 MG/ML,Evolocumab
,1801318,,,SCDF,evolocumab Cartridge,Evolocumab
,1801319,,,SCD,3.5 ML evolocumab 120 MG/ML Cartridge,Evolocumab
,1801320,,,SBDC,evolocumab 120 MG/ML [Repatha],Evolocumab
,1801321,,,SBDF,evolocumab Cartridge [Repatha],Evolocumab
,1801322,,,SBD,3.5 ML evolocumab 120 MG/ML Cartridge [Repatha],Evolocumab
,1870336,,,SCDC,Colesevelam hydrochloride 3750 MG,Colesevelam
,1870337,,,SCDG,colesevelam Oral Powder Product,Colesevelam
,1870338,,,SCDF,colesevelam Powder for Oral Suspension,Colesevelam
,1870340,,,SBDC,Colesevelam hydrochloride 3750 MG [Welchol],Colesevelam
,1870341,,,SBDF,colesevelam Powder for Oral Suspension [Welchol],Colesevelam
,1870342,,,SBDG,Welchol Oral Powder Product,Colesevelam
,1870344,,,SCDC,Colesevelam hydrochloride 1875 MG,Colesevelam
,1870346,,,SBDC,Colesevelam hydrochloride 1875 MG [Welchol],Colesevelam
,196503,,,BN,Zocor,Simvastatin
,197903,,,SCD,Lovastatin 10 MG Oral Tablet,Lovastatin
,197904,,,SCD,Lovastatin 20 MG Oral Tablet,Lovastatin
,197905,,,SCD,Lovastatin 40 MG Oral Tablet,Lovastatin
,198211,,,SCD,Simvastatin 40 MG Oral Tablet,Simvastatin
,200345,,,SCD,Simvastatin 80 MG Oral Tablet,Simvastatin
,202582,,,BN,Questran,Cholestyramine
,203144,,,PIN,Pravastatin Sodium,Pravastatin
,203333,,,BN,Pravachol,Pravastatin
,206257,,,SBD,Lovastatin 20 MG Oral Tablet [Mevacor],Lovastatin
,206258,,,SBD,Lovastatin 40 MG Oral Tablet [Mevacor],Lovastatin
,208220,,,SBD,Simvastatin 5 MG Oral Tablet [Zocor],Simvastatin
,213319,,,SBD,Simvastatin 80 MG Oral Tablet [Zocor],Simvastatin
,219397,,,BN,Prevalite,Cholestyramine
,224938,,,BN,Mevacor,Lovastatin
,232540,,,IN,red yeast rice,Red Yeast Rice
,2447,,,IN,Cholestyramine Resin,Cholestyramine
,24852,,,PIN,fenofibric acid,fenofibric acid
,259132,,,SCD,red yeast rice 600 MG Oral Capsule,Red Yeast Rice
,259255,,,SCD,atorvastatin 80 MG Oral Tablet,Atorvastatin
,262095,,,SBD,atorvastatin 80 MG Oral Tablet [Lipitor],Atorvastatin
,2685,,,IN,Colestipol,Colestipol
,284918,,,BN,Welchol,Colesevelam
,301542,,,IN,rosuvastatin,Rosuvastatin
,310404,,,SCD,fluvastatin 20 MG Oral Capsule,Fluvastatin
,310405,,,SCD,fluvastatin 40 MG Oral Capsule,Fluvastatin
,312961,,,SCD,Simvastatin 20 MG Oral Tablet,Simvastatin
,312962,,,SCD,Simvastatin 5 MG Oral Tablet,Simvastatin
,314231,,,SCD,Simvastatin 10 MG Oral Tablet,Simvastatin
,316174,,,SCDC,Lovastatin 10 MG,Lovastatin
,316175,,,SCDC,Lovastatin 20 MG,Lovastatin
,316176,,,SCDC,Lovastatin 40 MG,Lovastatin
,316672,,,SCDC,Simvastatin 10 MG,Simvastatin
,316673,,,SCDC,Simvastatin 20 MG,Simvastatin
,316674,,,SCDC,Simvastatin 40 MG,Simvastatin
,316675,,,SCDC,Simvastatin 80 MG,Simvastatin
,317329,,,SCDC,Cholestyramine Resin 4000 MG,Cholestyramine
,317497,,,SCDC,Simvastatin 5 MG,Simvastatin
,320864,,,BN,Crestor,Rosuvastatin
,323828,,,PIN,Rosuvastatin calcium,Rosuvastatin
,327008,,,BN,Advicor,Lovastatin
,328265,,,SCDC,fluvastatin 20 MG,Fluvastatin
,328267,,,SCDC,fluvastatin 40 MG,Fluvastatin
,329299,,,SCDC,atorvastatin 80 MG,Atorvastatin
,330788,,,SCDC,fluvastatin 80 MG,Fluvastatin
,333240,,,SCDC,red yeast rice 600 MG,Red Yeast Rice
,341248,,,IN,ezetimibe,Ezetimibe
,349556,,,SCD,ezetimibe 10 MG Oral Tablet,Ezetimibe
,350671,,,SCDC,ezetimibe 10 MG,Ezetimibe
,352304,,,SBD,ezetimibe 10 MG Oral Tablet [Zetia],Ezetimibe
,352387,,,MIN,Lovastatin / Niacin,Lovastatin
,353099,,,BN,Zetia,Ezetimibe
,353377,,,SCDC,Lovastatin 60 MG,Lovastatin
,359731,,,SCD,24 HR Lovastatin 40 MG Extended Release Oral Tablet,Lovastatin
,359732,,,SCD,24 HR Lovastatin 60 MG Extended Release Oral Tablet,Lovastatin
,360507,,,SCD,24 HR fluvastatin 80 MG Extended Release Oral Tablet,Fluvastatin
,36567,,,IN,Simvastatin,Simvastatin
,366775,,,SBDF,fluvastatin Oral Capsule [Lescol],Fluvastatin
,367665,,,SBDF,atorvastatin Oral Tablet [Lipitor],Atorvastatin
,368090,,,SBDF,Colestipol Oral Tablet [Colestid],Colestipol
,368175,,,SBDF,colesevelam Oral Tablet [Welchol],Colesevelam
,368276,,,SBDF,Simvastatin Oral Tablet [Zocor],Simvastatin
,368322,,,SBDF,Pravastatin Oral Tablet [Pravachol],Pravastatin
,368566,,,SBDF,ezetimibe Oral Tablet [Zetia],Ezetimibe
,368931,,,SBDF,Lovastatin Oral Tablet [Mevacor],Lovastatin
,370621,,,SCDF,atorvastatin Oral Tablet,Atorvastatin
,372255,,,SCDF,fluvastatin Oral Capsule,Fluvastatin
,372652,,,SCDF,Lovastatin Oral Tablet,Lovastatin
,373560,,,SCDF,Pravastatin Oral Tablet,Pravastatin
,373888,,,SCDF,Simvastatin Oral Tablet,Simvastatin
,374415,,,SCDF,Colestipol Oral Tablet,Colestipol
,374632,,,SCDF,colesevelam Oral Tablet,Colesevelam
,375074,,,SCDF,fluvastatin Extended Release Oral Tablet,Fluvastatin
,375259,,,SCDF,red yeast rice Oral Capsule,Red Yeast Rice
,378303,,,SCDF,ezetimibe Oral Tablet,Ezetimibe
,378724,,,SCDF,Lovastatin Extended Release Oral Tablet,Lovastatin
,379039,,,SCDF,Lovastatin / Niacin Extended Release Oral Tablet,Lovastatin
,379818,,,SCDF,Fenofibrate Oral Tablet,fenofibric acid
,402354,,,SCDF,rosuvastatin Oral Tablet,Rosuvastatin
,404011,,,SCD,Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet,Atorvastatin
,404013,,,SCD,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet,Atorvastatin
,404773,,,MIN,Amlodipine / atorvastatin,Atorvastatin
,404775,,,MIN,Aspirin / Pravastatin,Pravastatin
,404914,,,BN,Caduet,Atorvastatin
,405788,,,SCDF,Amlodipine / atorvastatin Oral Tablet,Atorvastatin
,405803,,,SCDF,Aspirin / Pravastatin Oral Tablet,Pravastatin
,405880,,,SBDF,rosuvastatin Oral Tablet [Crestor],Rosuvastatin
,41127,,,IN,fluvastatin,Fluvastatin
,42463,,,IN,Pravastatin,Pravastatin
,433848,,,SCD,24 HR Lovastatin 10 MG Extended Release Oral Tablet,Lovastatin
,433849,,,SCD,24 HR Lovastatin 20 MG Extended Release Oral Tablet,Lovastatin
,439656,,,SCDF,Fenofibrate Delayed Release Oral Capsule,fenofibric acid
,476345,,,SCD,ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet,Ezetimibe
,476345,,,SCD,ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet,Simvastatin
,476348,,,SCDF,ezetimibe / Simvastatin Oral Tablet,Ezetimibe
,476348,,,SCDF,ezetimibe / Simvastatin Oral Tablet,Simvastatin
,476349,,,SCD,ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet,Ezetimibe
,476349,,,SCD,ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet,Simvastatin
,476350,,,SCD,ezetimibe 10 MG / Simvastatin 40 MG Oral Tablet,Ezetimibe
,476350,,,SCD,ezetimibe 10 MG / Simvastatin 40 MG Oral Tablet,Simvastatin
,476351,,,SCD,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet,Ezetimibe
,476351,,,SCD,ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet,Simvastatin
,484211,,,MIN,ezetimibe / Simvastatin,Ezetimibe
,484211,,,MIN,ezetimibe / Simvastatin,Simvastatin
,495215,,,BN,Vytorin,Ezetimibe
,495215,,,BN,Vytorin,Simvastatin
,541841,,,BN,Altoprev,Lovastatin
,541843,,,SBDF,Lovastatin Extended Release Oral Tablet [Altoprev],Lovastatin
,541845,,,SBDC,Lovastatin 20 MG [Altoprev],Lovastatin
,542190,,,SBDC,Lovastatin 40 MG [Altoprev],Lovastatin
,542195,,,SBDC,Lovastatin 60 MG [Altoprev],Lovastatin
,544539,,,SCDF,Colestipol Oral Granules,Colestipol
,544542,,,SBDF,Colestipol Oral Granules [Colestid],Colestipol
,563452,,,SBDC,fluvastatin 20 MG [Lescol],Fluvastatin
,563453,,,SBDC,fluvastatin 40 MG [Lescol],Fluvastatin
,563653,,,SBDC,Simvastatin 10 MG [Zocor],Simvastatin
,563654,,,SBDC,Simvastatin 20 MG [Zocor],Simvastatin
,565109,,,SBDC,Simvastatin 40 MG [Zocor],Simvastatin
,567115,,,SBDC,Lovastatin 20 MG [Mevacor],Lovastatin
,567116,,,SBDC,Lovastatin 40 MG [Mevacor],Lovastatin
,568935,,,SBDC,Simvastatin 5 MG [Zocor],Simvastatin
,573220,,,SBDC,Simvastatin 80 MG [Zocor],Simvastatin
,574676,,,SBDC,atorvastatin 80 MG [Lipitor],Atorvastatin
,576000,,,SBDC,ezetimibe 10 MG [Zetia],Ezetimibe
,582041,,,SCD,24 HR Lovastatin 20 MG / Niacin 1000 MG Extended Release Oral Tablet,Lovastatin
,582042,,,SCD,24 HR Lovastatin 20 MG / Niacin 500 MG Extended Release Oral Tablet,Lovastatin
,582043,,,SCD,24 HR Lovastatin 20 MG / Niacin 750 MG Extended Release Oral Tablet,Lovastatin
,597966,,,SCDC,atorvastatin 20 MG,Atorvastatin
,597967,,,SCD,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet,Atorvastatin
,597970,,,SCDC,atorvastatin 10 MG,Atorvastatin
,597971,,,SCD,Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet,Atorvastatin
,597974,,,SCD,Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet,Atorvastatin
,597977,,,SCD,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,Atorvastatin
,597980,,,SCD,Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet,Atorvastatin
